district_id,district_name,state_name,state_code,year,source_name,source_year,area_sq_km,coastal_district,population_total,population_male,population_female,rural_population,urban_population,rural_population_pct,urban_population_pct,population_density,population_growth_rate_pct,sex_ratio,child_sex_ratio_0_6,children_0_6_pop,households_total,avg_household_size,sc_population,sc_population_pct,st_population,st_population_pct,literacy_rate_pct,male_literacy_rate_pct,female_literacy_rate_pct,literate_population,illiterate_population,sanitation_coverage_pct,hh_with_latrine,hh_without_latrine,hh_with_flush_latrine,hh_with_pit_latrine,open_defecation_free,swachh_bharat_toilets_built,drinking_water_coverage_pct,hh_tap_water,hh_well_water,hh_other_water_source,hh_water_within_premises,hh_treated_water_pct,piped_water_urban_pct,piped_water_rural_pct,jjm_fhtc_connections,fluoride_affected_habitations,arsenic_affected_habitations,nitrate_affected_habitations,iron_affected_habitations,total_wq_affected_habitations,habitations_safe_water,water_quality_issue_count,water_testing_labs_count,water_samples_tested,water_samples_failed_pct,sub_centres_count,phc_count,chc_count,subdivisional_hospitals,district_hospitals,mobile_medical_units,total_govt_health_facilities,govt_hospital_beds,govt_doctors_count,govt_nurses_count,asha_workers,anganwadi_centres,health_facility_count,infant_mortality_rate,under5_mortality_rate,maternal_mortality_ratio,stunting_pct,wasting_pct,anemia_women_pct,institutional_delivery_pct,full_immunization_pct,antenatal_care_pct,poverty_rate_pct,bpl_households,bpl_household_pct,electricity_access_pct,avg_monthly_income_inr,flood_risk,drought_risk,cyclone_risk,vulnerability_score_raw,risk_tier,population_at_risk,waterborne_disease_index,public_health_risk_score
TN_COIM_2011,Coimbatore,Tamil Nadu,TN,2011,Census2011,2011,7649,0,3520410,1754682,1765728,760413,2759997,21.6,78.4,460.24,1.31,1006.3,955.1,348905,802933,4.38,844348,23.98,44372,1.26,86.75,90.26,80.89,3053988,466422,85.09,683197,119736,550033,150359,0,0,85.5,541901,108508,152524,484839,41.05,98.33,64.13,0,7,1,0,19,27,92,27,5,1802,2.82,182,33,7,2,1,4,225,987,348,468,760,3566,225,32.5,36.8,116.4,37.29,11.3,38.62,87.3,89.22,90.84,8.19,65738,8.19,89.86,9654,LOW,MEDIUM,LOW,22.906,HIGH,80638511,0.2276,11.7152
TN_COIM_2016,Coimbatore,Tamil Nadu,TN,2016,RHS2016,2016,7649,0,3687112,1807617,1879495,796420,2890692,21.6,78.4,482.04,1.04,1039.8,946.3,367627,900604,4.09,698205,18.94,103642,2.81,87.25,93.03,84.05,3217007,470105,87.57,788702,111902,546434,191156,0,0,86.58,463189,198325,239090,647251,57.41,99,64.93,0,15,3,6,18,42,106,42,1,390,7.88,200,26,5,1,1,3,233,805,221,371,796,3546,233,20.9,26.1,69.4,26.25,14.26,44.2,89.25,89.52,86.95,7.07,63674,7.07,94.11,31115,LOW,MEDIUM,LOW,20.106,HIGH,74133073,0.2295,10.2398
TN_COIM_2018,Coimbatore,Tamil Nadu,TN,2018,DataGovIN_WaterQuality,2018,7649,0,3728833,1868404,1860429,805432,2923401,21.6,78.4,487.49,0.93,995.7,967.6,428438,922834,4.04,775829,20.81,102880,2.76,84.02,89.4,77.91,3132819,596014,85.96,793249,129585,531645,91078,0,111962,87.57,590171,172213,160450,685733,37.68,99,65.68,0,5,1,3,15,24,126,24,2,1861,13.26,228,33,6,2,1,3,270,788,311,387,805,3436,270,18.5,25.8,82.5,29.85,11.52,58.84,93.84,96.13,100,6.21,57318,6.21,94.16,15396,LOW,MEDIUM,LOW,18.337,HIGH,68375610,0.1798,9.3336
TN_COIM_2016,Coimbatore,Tamil Nadu,TN,2016,NFHS4_2015-16,2016,7649,0,3704252,1860002,1844250,800123,2904129,21.6,78.4,484.28,1.45,991.5,963.1,339941,850863,4.35,754228,20.36,120483,3.25,83.52,86.88,80.69,3093961,610291,91.8,781120,69743,501700,195117,0,0,97.24,518240,226878,105745,680065,63.46,99,72.93,0,3,1,10,6,20,127,20,3,1099,4.49,170,31,9,1,1,2,212,921,298,531,800,3983,212,29.1,38.1,79.1,30.25,21.09,56.91,95.13,90.88,92.88,7.15,60840,7.15,92.68,39811,LOW,LOW,LOW,17.899,HIGH,66302406,0.1447,9.1824
TN_COIM_2021,Coimbatore,Tamil Nadu,TN,2021,NFHS5_2019-21,2021,7649,0,3873033,1936035,1936998,836579,3036454,21.6,78.4,506.35,1.42,1000.5,963.0,333839,1004336,3.86,732485,18.91,101148,2.61,82.93,85.93,76.58,3211830,661203,94.14,945531,58805,651085,104803,0,48588,99.0,754657,263527,-13848,885076,66.13,99,74.25,121317,8,0,2,15,25,187,25,4,1756,3.03,223,28,8,4,1,6,264,1046,315,574,836,3512,264,13.3,15.3,65.9,24.91,17.95,47.61,99.93,79.77,76.08,4.88,49032,4.88,93.28,23860,MEDIUM,LOW,LOW,15.254,HIGH,59079245,0.1102,7.7497
TN_COIM_2022,Coimbatore,Tamil Nadu,TN,2022,RuralHealthStat2022,2022,7649,0,3974088,1985828,1988260,858407,3115681,21.6,78.4,519.56,1.3,1001.2,964.6,412910,1040280,3.82,985137,24.79,180777,4.55,83.63,88.86,79.21,3323499,650589,93.22,969774,70506,630093,244940,0,54871,97.72,616244,323568,100468,734696,81.64,99,73.29,171508,3,1,7,9,20,190,20,6,689,13.44,205,32,8,4,1,2,250,1056,366,503,858,3550,250,26.9,30.7,38.2,30.15,20.25,46.16,100.0,85.01,87.77,4.55,47372,4.55,98.99,15018,LOW,LOW,LOW,15.466,HIGH,61463245,0.1347,7.9281
TN_COIM_2011,Coimbatore,Tamil Nadu,TN,2011,CensusHH2011,2011,7649,0,3491847,1760255,1731592,754243,2737604,21.6,78.4,456.51,1.35,983.7,947.4,337250,799418,4.37,789821,22.62,178214,5.1,86.99,90.48,81.82,3037585,454262,87.95,703093,96325,570752,132698,0,0,85.1,459604,182349,157465,594556,69.7,97.87,63.83,0,14,0,8,14,36,47,36,1,294,8.49,168,26,6,2,1,1,203,849,223,361,754,2871,203,34.8,47.2,83.5,24.33,18.62,56.23,96.83,75.75,74.34,6.85,54781,6.85,92.44,18336,LOW,LOW,LOW,22.826,HIGH,79704899,0.2495,11.6746
TN_COIM_2023,Coimbatore,Tamil Nadu,TN,2023,SBM_SBMG2023,2023,7649,0,3915474,1950849,1964625,845747,3069727,21.6,78.4,511.89,1.06,1007.1,952.6,353965,915416,4.28,579533,14.8,158477,4.05,84.43,90.85,78.7,3305643,609831,99.0,906261,9155,511777,200538,1,7496,98.97,630361,177965,107090,749760,80.21,99,74.23,96141,14,2,10,0,26,259,26,2,1443,18.04,228,29,6,2,1,1,266,852,225,442,845,3475,266,15.5,21.0,45.9,22.09,15.8,43.69,97.72,91.87,88.77,5.84,53451,5.84,94.75,24105,LOW,LOW,LOW,12.636,HIGH,49475929,0.1056,6.4625
TN_COIM_2023,Coimbatore,Tamil Nadu,TN,2023,JJM_2023,2023,7649,0,3996394,2019575,1976819,863226,3133168,21.6,78.4,522.47,1.12,978.8,960.0,356092,934479,4.28,541696,13.55,165342,4.14,81.58,85.89,77.67,3260146,736248,99.0,925134,9345,686046,161245,1,8218,92.53,554456,152430,227593,762597,58.57,99,69.4,140606,10,3,2,6,21,92,21,5,871,20.31,241,31,8,3,1,2,284,988,240,501,863,3550,284,11.7,15.5,47.9,27.93,18.09,47.54,100.0,91.5,87.14,4.49,41915,4.49,95.84,47768,MEDIUM,MEDIUM,LOW,14.91,HIGH,59586234,0.107,7.5646
TN_COIM_2013,Coimbatore,Tamil Nadu,TN,2013,DLHS4_2012-13,2013,7649,0,3598977,1785250,1813727,777383,2821594,21.6,78.4,470.52,1.28,1016.0,968.8,321004,880848,4.09,976768,27.14,90759,2.52,83.34,86.59,79.67,2999343,599634,83.75,737678,143170,624552,189875,0,0,95.93,493426,203423,183999,704837,45.26,99,71.95,0,13,1,6,20,40,65,40,5,624,13.73,217,31,6,3,1,1,258,982,289,565,777,4049,258,23.0,32.0,78.6,35.43,17.74,39.45,87.69,96.13,93.46,7.77,68472,7.77,95.57,29775,MEDIUM,MEDIUM,LOW,23.0,HIGH,82776471,0.2059,11.7054
TN_MADU_2011,Madurai,Tamil Nadu,TN,2011,Census2011,2011,3741,0,3049663,1511246,1538417,300734,2748929,9.86,90.14,815.2,1.17,1018.0,966.0,349570,679390,4.49,629555,20.64,152256,4.99,79.76,84.37,77.02,2432484,617179,91.87,624153,55237,366913,140349,0,0,86.31,375022,180419,123949,479520,64.27,99,64.73,0,0,1,4,1,6,106,6,6,865,9.62,83,13,4,1,1,4,102,522,153,303,300,3168,102,29.5,38.9,123.2,31.18,13.62,53.44,82.53,95.97,93.92,5.56,37782,5.56,90.19,20133,MEDIUM,LOW,LOW,21.311,HIGH,64991368,0.1489,10.8752
TN_MADU_2016,Madurai,Tamil Nadu,TN,2016,RHS2016,2016,3741,0,3211288,1624468,1586820,316672,2894616,9.86,90.14,858.4,1.26,976.8,944.1,336033,827632,3.88,836325,26.04,120637,3.76,87.03,92.92,83.97,2794899,416389,87.26,722204,105428,539501,104610,0,0,95.94,518884,250514,58234,619169,40.41,99,71.96,0,3,2,6,10,21,229,21,5,952,4.3,71,11,3,4,1,1,90,763,283,340,316,2926,90,31.4,39.7,89.0,27.73,13.96,40.93,90.51,90.97,88.23,4.46,36914,4.46,97.55,23788,LOW,LOW,LOW,17.347,HIGH,55706212,0.1682,8.8923
TN_MADU_2018,Madurai,Tamil Nadu,TN,2018,DataGovIN_WaterQuality,2018,3741,0,3301222,1668268,1632954,325540,2975682,9.86,90.14,882.44,1.17,978.8,940.9,347451,779471,4.24,690214,20.91,133533,4.04,85.71,92.48,83.14,2829477,471745,90.04,701859,77612,476544,109945,0,68351,85.0,409661,200406,169404,585890,59.33,97.75,63.75,0,11,0,2,4,17,207,17,6,831,2.91,86,13,3,1,1,1,104,632,189,343,325,3162,104,20.6,27.2,99.3,27.25,11.02,39.26,88.18,90.77,91.77,3.98,31030,3.98,91.99,11621,LOW,LOW,LOW,16.242,HIGH,53618447,0.1658,8.2755
TN_MADU_2016,Madurai,Tamil Nadu,TN,2016,NFHS4_2015-16,2016,3741,0,3194700,1578899,1615801,315036,2879664,9.86,90.14,853.97,1.35,1023.4,938.9,296038,819981,3.9,551084,17.25,33181,1.04,86.05,92.95,83.67,2749046,445654,84.58,693501,126480,513168,142945,0,0,89.47,532583,183455,103943,635849,44.7,99,67.11,0,11,0,6,1,18,173,18,3,919,16.55,63,9,2,3,1,5,78,751,243,394,315,3602,78,34.8,40.0,116.1,25.7,18.28,46.68,91.92,79.22,82.37,4.13,33890,4.13,92.4,17771,MEDIUM,LOW,LOW,22.184,HIGH,70871224,0.1976,11.3264
TN_MADU_2021,Madurai,Tamil Nadu,TN,2021,NFHS5_2019-21,2021,3741,0,3354440,1656910,1697530,330788,3023652,9.86,90.14,896.67,1.39,1024.5,956.1,361630,794574,4.22,754351,22.49,63255,1.89,87.26,91.87,82.89,2927239,427201,98.93,786072,8502,467915,88334,1,5825,99.0,582080,188618,23876,696032,79.96,99,74.25,40397,10,2,2,14,28,69,28,6,372,12.09,81,12,3,3,1,5,100,621,198,318,330,2915,100,12.3,16.5,40.8,32.29,20.26,52.76,95.62,88.72,86.19,3.26,25875,3.26,99.21,29609,LOW,LOW,LOW,9.971,HIGH,33447121,0.1034,5.0861
TN_MADU_2022,Madurai,Tamil Nadu,TN,2022,RuralHealthStat2022,2022,3741,0,3430682,1716901,1713781,338307,3092375,9.86,90.14,917.05,1.12,998.2,937.2,329982,877160,3.91,566964,16.53,104424,3.04,83.86,87.93,77.12,2876916,553766,99.0,868388,8772,604294,126184,1,6112,99.0,618141,141705,117314,624285,38.86,99,74.25,66336,12,2,4,19,37,81,37,1,1239,17.42,77,14,3,3,1,3,98,680,184,278,338,3890,98,17.3,21.0,92.4,30.96,18.04,57.9,100.0,93.79,97.63,3.03,26555,3.03,98.11,14783,LOW,MEDIUM,LOW,12.375,HIGH,42454689,0.137,6.3139
TN_MADU_2011,Madurai,Tamil Nadu,TN,2011,CensusHH2011,2011,3741,0,3018163,1525156,1493007,297627,2720536,9.86,90.14,806.78,1.41,978.9,964.0,290653,775531,3.89,440529,14.6,155638,5.16,85.25,89.68,79.43,2572987,445176,91.26,707776,67755,447199,198928,0,0,86.74,443582,156179,175770,561877,42.37,99,65.05,0,7,3,9,9,28,244,28,4,387,20.93,82,11,3,2,1,3,99,777,173,396,297,2682,99,22.2,27.0,94.6,37.33,19.8,57.23,84.35,80.25,79.76,5.35,41466,5.35,95.12,16390,LOW,MEDIUM,LOW,17.824,HIGH,53795737,0.1876,9.0888
TN_MADU_2023,Madurai,Tamil Nadu,TN,2023,SBM_SBMG2023,2023,3741,0,3409670,1674370,1735300,336235,3073435,9.86,90.14,911.43,1.07,1036.4,930.1,313939,821329,4.15,951720,27.91,98013,2.87,81.48,86.25,76.63,2778334,631336,99.0,813115,8214,492905,189978,1,6801,99.0,579336,250664,-8671,591557,53.03,99,74.25,71338,9,3,2,15,29,165,29,5,1239,17.73,86,17,5,3,1,2,112,991,296,435,336,3420,112,15.2,17.3,48.9,27.18,17.47,39.51,100.0,90.3,85.5,2.84,23305,2.84,98.45,49811,LOW,LOW,LOW,11.606,HIGH,39572630,0.1123,5.916
TN_MADU_2023,Madurai,Tamil Nadu,TN,2023,JJM_2023,2023,3741,0,3412014,1698287,1713727,336466,3075548,9.86,90.14,912.06,1.29,1009.1,940.9,366516,840126,4.06,604387,17.71,45645,1.34,83.25,90.25,79.07,2840547,571467,99.0,831724,8402,557260,156320,1,8193,93.51,546348,236721,57057,570862,51.95,99,70.13,33312,11,2,10,5,28,264,28,6,1218,9.35,91,12,2,4,1,6,110,752,292,441,336,3817,110,27.4,37.4,54.7,20.6,14.78,57.57,96.05,80.57,78.24,2.95,24807,2.95,94.65,17170,LOW,MEDIUM,LOW,15.043,HIGH,51326926,0.1561,7.7033
TN_MADU_2013,Madurai,Tamil Nadu,TN,2013,DLHS4_2012-13,2013,3741,0,3101517,1546454,1555063,305847,2795670,9.86,90.14,829.06,1.17,1005.6,944.8,280419,689751,4.5,517961,16.7,46925,1.51,81.97,87.19,79.59,2542367,559150,85.84,592095,97656,350110,102663,0,0,90.31,454368,114199,121184,491348,50.72,99,67.73,0,14,0,5,19,38,153,38,3,711,21.21,69,9,1,1,1,1,81,550,155,244,305,2513,81,18.5,20.5,114.7,30.96,15.26,41.03,87.01,89.35,86.21,4.66,32119,4.66,96.94,22876,MEDIUM,MEDIUM,LOW,20.951,HIGH,64979882,0.2055,10.625
TN_TIRU_2011,Tiruchirappalli,Tamil Nadu,TN,2011,Census2011,2011,4404,0,2680381,1354930,1325451,187320,2493061,6.99,93.01,608.62,1.33,978.2,951.0,245086,624386,4.29,584055,21.79,119810,4.47,76.64,83.49,70.52,2054243,626138,84.83,529690,94696,303049,155980,0,0,74.02,262757,85287,276342,389470,67.12,85.13,55.52,0,2,2,10,11,25,236,25,4,1154,15.6,39,5,1,3,1,2,49,633,179,390,187,2513,49,20.4,23.3,114.3,18.53,16.65,46.85,95.66,86.58,90.36,6.24,38940,6.24,86.45,26726,MEDIUM,LOW,LOW,25.764,HIGH,69057336,0.2367,13.0578
TN_TIRU_2016,Tiruchirappalli,Tamil Nadu,TN,2016,RHS2016,2016,4404,0,2901454,1432271,1469183,202769,2698685,6.99,93.01,658.82,1.28,1025.8,949.9,284280,648168,4.48,770956,26.57,37053,1.28,71.26,77.39,67.81,2067470,833984,84.34,546637,101531,457532,107462,0,0,74.34,303876,140631,203661,370630,75.23,85.49,55.75,0,9,0,4,6,19,223,19,6,1031,7.95,57,9,2,1,1,5,70,692,246,320,202,2405,70,29.4,37.6,108.2,27.77,19.9,38.68,85.27,90.47,86.07,5.19,33663,5.19,95.16,24115,LOW,LOW,LOW,25.237,HIGH,73223994,0.2417,12.8335
TN_TIRU_2018,Tiruchirappalli,Tamil Nadu,TN,2018,DataGovIN_WaterQuality,2018,4404,0,2948789,1456939,1491850,206077,2742712,6.99,93.01,669.57,1.07,1024.0,953.9,278299,697994,4.22,692782,23.49,137737,4.67,77.03,84.25,71.67,2271560,677229,93.02,649273,48721,412758,65989,0,33449,73.97,331787,135438,230769,394355,41.7,85.06,55.48,0,14,0,4,14,32,111,32,3,1689,9.32,45,8,2,4,1,5,60,703,160,316,206,2834,60,16.7,19.1,115.7,25.24,20.55,49.94,87.03,86.06,81.51,4.65,32441,4.65,91.65,13103,LOW,MEDIUM,LOW,20.357,HIGH,60028497,0.2256,10.3176
TN_TIRU_2016,Tiruchirappalli,Tamil Nadu,TN,2016,NFHS4_2015-16,2016,4404,0,2892454,1438274,1454180,202140,2690314,6.99,93.01,656.78,1.39,1011.1,944.7,279383,722748,4.0,555515,19.21,108446,3.75,76.37,82.74,69.48,2209105,683349,89.3,645424,77324,468003,167391,0,0,79.21,333294,96946,292508,443486,71.27,91.09,59.41,0,10,2,2,6,20,214,20,6,1488,2.53,56,9,2,1,1,2,69,659,193,312,202,2863,69,24.8,29.8,91.0,19.75,21.89,55.74,89.59,84.06,88.73,5.5,39754,5.5,93.86,34826,LOW,MEDIUM,LOW,21.509,HIGH,62213793,0.2047,10.9475
TN_TIRU_2021,Tiruchirappalli,Tamil Nadu,TN,2021,NFHS5_2019-21,2021,4404,0,3082316,1545943,1536373,215409,2866907,6.99,93.01,699.89,1.06,993.8,949.4,315954,715988,4.3,453969,14.73,127765,4.15,75.87,83.66,72.48,2338678,743638,99.0,708828,7160,453330,204353,1,7045,85.56,441193,95760,179035,545006,73.56,98.4,64.17,37801,3,1,0,14,18,142,18,6,1643,11.78,56,10,2,4,1,5,73,743,189,368,215,3057,73,23.3,32.7,70.9,22.54,21.48,49.03,96.06,90.47,91.08,4.31,30891,4.31,100.0,48684,LOW,LOW,LOW,17.188,HIGH,52978847,0.1499,8.7668
TN_TIRU_2022,Tiruchirappalli,Tamil Nadu,TN,2022,RuralHealthStat2022,2022,4404,0,3108624,1541118,1567506,217247,2891377,6.99,93.01,705.86,1.43,1017.1,949.0,314890,739895,4.2,818568,26.33,92408,2.97,74.07,80.32,68.29,2302541,806083,99.0,732496,7399,465994,115062,1,4958,85.55,354777,215874,169244,453067,73.44,98.38,64.16,36436,14,2,7,6,29,102,29,2,1295,16.77,60,10,2,3,1,2,76,899,301,579,217,3544,76,30.4,35.5,50.5,16.7,13.96,49.34,99.08,82.29,77.66,4.47,33048,4.47,100.0,49991,MEDIUM,LOW,LOW,22.632,HIGH,70354378,0.1932,11.5296
TN_TIRU_2011,Tiruchirappalli,Tamil Nadu,TN,2011,CensusHH2011,2011,4404,0,2713059,1374848,1338211,189603,2523456,6.99,93.01,616.04,1.14,973.4,933.8,233567,609163,4.45,688554,25.38,134019,4.94,70.71,78.62,66.32,1918406,794653,90.63,552081,57082,458639,55962,0,0,82.07,311128,78732,219303,379772,54.18,94.38,61.55,0,3,2,4,14,23,221,23,4,1743,7.34,54,8,1,2,1,5,66,450,142,201,189,2528,66,30.3,39.8,56.1,24.74,13.54,54.19,85.28,87.83,88.65,6.27,38189,6.27,89.96,21749,LOW,MEDIUM,LOW,23.722,HIGH,64359185,0.2109,12.0918
