alert_id,district_id,alert_date,alert_type,severity,status
ALT000061,D001,2024-08-20,OUTBREAK,HIGH,RESOLVED
ALT000062,D001,2024-09-09,OUTBREAK,HIGH,RESOLVED
ALT000063,D001,2024-09-28,OUTBREAK,HIGH,RESOLVED
ALT000064,D001,2024-09-25,OUTBREAK,HIGH,RESOLVED
ALT000065,D001,2024-09-11,OUTBREAK,HIGH,RESOLVED
ALT000066,D001,2024-09-18,OUTBREAK,HIGH,RESOLVED
ALT000067,D001,2024-09-19,OUTBREAK,HIGH,RESOLVED
ALT000068,D001,2024-10-18,WATERBORNE,HIGH,RESOLVED
ALT000069,D001,2024-10-28,WATERBORNE,HIGH,RESOLVED
ALT000070,D001,2024-10-04,WATERBORNE,HIGH,RESOLVED
ALT000071,D001,2024-10-22,WATERBORNE,HIGH,RESOLVED
ALT000072,D001,2024-10-25,WATERBORNE,HIGH,RESOLVED
ALT000073,D001,2024-10-26,WATERBORNE,HIGH,RESOLVED
ALT000074,D001,2024-11-22,WATERBORNE,HIGH,RESOLVED
ALT000075,D001,2024-11-01,WATERBORNE,HIGH,RESOLVED
ALT000076,D001,2024-11-14,WATERBORNE,HIGH,RESOLVED
ALT000077,D001,2024-12-15,OUTBREAK,HIGH,RESOLVED
ALT000078,D001,2024-12-23,OUTBREAK,HIGH,RESOLVED
ALT000079,D001,2024-12-01,OUTBREAK,HIGH,RESOLVED
ALT000080,D001,2025-01-04,HEALTH_RISK,MEDIUM,ACTIVE
ALT000081,D001,2025-01-06,HEALTH_RISK,MEDIUM,RESOLVED
ALT000082,D001,2025-01-03,HEALTH_RISK,MEDIUM,ACTIVE
ALT000083,D001,2025-02-06,WATERBORNE,MEDIUM,RESOLVED
ALT000084,D001,2025-02-20,WATERBORNE,MEDIUM,ACTIVE
ALT000085,D001,2025-02-10,WATERBORNE,MEDIUM,RESOLVED
ALT000086,D001,2025-03-22,WATERBORNE,MEDIUM,ACTIVE
ALT000087,D001,2025-03-20,WATERBORNE,MEDIUM,ACTIVE
ALT000088,D002,2023-04-24,WATERBORNE,MEDIUM,RESOLVED
ALT000089,D002,2023-04-22,WATERBORNE,MEDIUM,RESOLVED
ALT000090,D002,2023-05-22,HEALTH_RISK,MEDIUM,RESOLVED
ALT000091,D002,2023-05-22,HEALTH_RISK,MEDIUM,RESOLVED
ALT000092,D002,2023-05-10,HEALTH_RISK,MEDIUM,RESOLVED
ALT000093,D002,2023-06-20,WATERBORNE,HIGH,RESOLVED
ALT000094,D002,2023-06-26,WATERBORNE,HIGH,RESOLVED
ALT000095,D002,2023-06-03,WATERBORNE,HIGH,RESOLVED
ALT000096,D002,2023-07-15,WATERBORNE,HIGH,RESOLVED
ALT000097,D002,2023-07-03,WATERBORNE,HIGH,RESOLVED
ALT000098,D002,2023-07-25,WATERBORNE,HIGH,RESOLVED
ALT000099,D002,2023-07-05,WATERBORNE,HIGH,RESOLVED
ALT000100,D002,2023-08-24,OUTBREAK,HIGH,RESOLVED
ALT000101,D002,2023-08-15,OUTBREAK,HIGH,RESOLVED
ALT000102,D002,2023-08-02,OUTBREAK,HIGH,RESOLVED
ALT000103,D002,2023-08-27,OUTBREAK,HIGH,RESOLVED
ALT000104,D002,2023-08-26,OUTBREAK,HIGH,RESOLVED
ALT000105,D002,2023-09-02,WATERBORNE,HIGH,RESOLVED
ALT000106,D002,2023-09-03,WATERBORNE,HIGH,RESOLVED
ALT000107,D002,2023-09-11,WATERBORNE,HIGH,RESOLVED
ALT000108,D002,2023-09-14,WATERBORNE,HIGH,RESOLVED
ALT000109,D002,2023-10-14,WATERBORNE,HIGH,RESOLVED
ALT000110,D002,2023-10-22,WATERBORNE,HIGH,RESOLVED
ALT000111,D002,2023-10-09,WATERBORNE,HIGH,RESOLVED
ALT000112,D002,2023-10-28,WATERBORNE,HIGH,RESOLVED
ALT000113,D002,2023-11-18,WATERBORNE,HIGH,RESOLVED
ALT000114,D002,2023-11-27,WATERBORNE,HIGH,RESOLVED
ALT000115,D002,2023-11-10,WATERBORNE,HIGH,RESOLVED
ALT000116,D002,2023-11-12,WATERBORNE,HIGH,RESOLVED
ALT000117,D002,2023-11-11,WATERBORNE,HIGH,RESOLVED
ALT000118,D002,2023-11-12,WATERBORNE,HIGH,RESOLVED
ALT000119,D002,2023-12-25,HEALTH_RISK,MEDIUM,RESOLVED
ALT000120,D002,2023-12-04,HEALTH_RISK,MEDIUM,RESOLVED
ALT000121,D002,2023-12-03,HEALTH_RISK,MEDIUM,RESOLVED
ALT000122,D002,2024-01-08,WATERBORNE,MEDIUM,RESOLVED
ALT000123,D002,2024-01-09,WATERBORNE,MEDIUM,RESOLVED
ALT000124,D002,2024-01-21,WATERBORNE,MEDIUM,RESOLVED
ALT000125,D002,2024-02-05,HEALTH_RISK,MEDIUM,RESOLVED
ALT000126,D002,2024-03-14,HEALTH_RISK,MEDIUM,RESOLVED
ALT000127,D002,2024-04-07,HEALTH_RISK,MEDIUM,RESOLVED
ALT000128,D002,2024-05-18,HEALTH_RISK,MEDIUM,RESOLVED
ALT000129,D002,2024-05-28,HEALTH_RISK,MEDIUM,RESOLVED
ALT000130,D002,2024-05-06,HEALTH_RISK,MEDIUM,RESOLVED
ALT000131,D002,2024-06-14,WATERBORNE,HIGH,RESOLVED
ALT000132,D002,2024-06-09,WATERBORNE,HIGH,RESOLVED
ALT000133,D002,2024-06-08,WATERBORNE,HIGH,RESOLVED
ALT000134,D002,2024-06-26,WATERBORNE,HIGH,RESOLVED
ALT000135,D002,2024-06-12,WATERBORNE,HIGH,RESOLVED
ALT000136,D002,2024-07-27,OUTBREAK,HIGH,RESOLVED
ALT000137,D002,2024-07-24,OUTBREAK,HIGH,RESOLVED
ALT000138,D002,2024-07-05,OUTBREAK,HIGH,RESOLVED
ALT000139,D002,2024-07-15,OUTBREAK,HIGH,RESOLVED
ALT000140,D002,2024-07-18,OUTBREAK,HIGH,RESOLVED
ALT000141,D002,2024-08-12,OUTBREAK,HIGH,RESOLVED
ALT000142,D002,2024-08-15,OUTBREAK,HIGH,RESOLVED
ALT000143,D002,2024-08-14,OUTBREAK,HIGH,RESOLVED
ALT000144,D002,2024-08-06,OUTBREAK,HIGH,RESOLVED
ALT000145,D002,2024-08-25,OUTBREAK,HIGH,RESOLVED
ALT000146,D002,2024-09-12,OUTBREAK,HIGH,RESOLVED
ALT000147,D002,2024-09-04,OUTBREAK,HIGH,RESOLVED
ALT000148,D002,2024-09-07,OUTBREAK,HIGH,RESOLVED
ALT000149,D002,2024-09-03,OUTBREAK,HIGH,RESOLVED
ALT000150,D002,2024-09-09,OUTBREAK,HIGH,RESOLVED
ALT000151,D002,2024-10-26,OUTBREAK,HIGH,RESOLVED
ALT000152,D002,2024-10-03,OUTBREAK,HIGH,RESOLVED
ALT000153,D002,2024-10-26,OUTBREAK,HIGH,RESOLVED
ALT000154,D002,2024-10-01,OUTBREAK,HIGH,RESOLVED
ALT000155,D002,2024-11-02,OUTBREAK,HIGH,RESOLVED
ALT000156,D002,2024-11-06,OUTBREAK,HIGH,RESOLVED
ALT000157,D002,2024-11-04,OUTBREAK,HIGH,RESOLVED
ALT000158,D002,2024-11-27,OUTBREAK,HIGH,RESOLVED
ALT000159,D002,2024-11-05,OUTBREAK,HIGH,RESOLVED
ALT000160,D002,2024-12-01,HEALTH_RISK,MEDIUM,RESOLVED
ALT000161,D002,2024-12-18,HEALTH_RISK,MEDIUM,RESOLVED
ALT000162,D002,2025-01-21,WATERBORNE,LOW,ACTIVE
ALT000163,D002,2025-02-26,HEALTH_RISK,MEDIUM,RESOLVED
ALT000164,D002,2025-03-22,WATERBORNE,MEDIUM,ACTIVE
ALT000165,D002,2025-03-21,WATERBORNE,MEDIUM,RESOLVED
ALT000166,D002,2025-03-11,WATERBORNE,MEDIUM,ACTIVE
ALT000167,D003,2023-04-04,OUTBREAK,HIGH,RESOLVED
ALT000168,D003,2023-04-01,OUTBREAK,HIGH,RESOLVED
ALT000169,D003,2023-04-16,OUTBREAK,HIGH,RESOLVED
ALT000170,D003,2023-05-28,OUTBREAK,HIGH,RESOLVED
ALT000171,D003,2023-05-01,OUTBREAK,HIGH,RESOLVED
ALT000172,D003,2023-05-28,OUTBREAK,HIGH,RESOLVED
ALT000173,D003,2023-06-11,OUTBREAK,HIGH,RESOLVED
ALT000174,D003,2023-06-28,OUTBREAK,HIGH,RESOLVED
ALT000175,D003,2023-06-17,OUTBREAK,HIGH,RESOLVED
ALT000176,D003,2023-06-01,OUTBREAK,HIGH,RESOLVED
ALT000177,D003,2023-06-07,OUTBREAK,HIGH,RESOLVED
ALT000178,D003,2023-07-22,OUTBREAK,HIGH,RESOLVED
ALT000179,D003,2023-07-09,OUTBREAK,HIGH,RESOLVED
ALT000180,D003,2023-07-28,OUTBREAK,HIGH,RESOLVED
ALT000181,D003,2023-07-06,OUTBREAK,HIGH,RESOLVED
ALT000182,D003,2023-07-05,OUTBREAK,HIGH,RESOLVED
ALT000183,D003,2023-08-20,WATERBORNE,HIGH,RESOLVED
ALT000184,D003,2023-08-12,WATERBORNE,HIGH,RESOLVED
ALT000185,D003,2023-08-22,WATERBORNE,HIGH,RESOLVED
ALT000186,D003,2023-08-17,WATERBORNE,HIGH,RESOLVED
ALT000187,D003,2023-08-18,WATERBORNE,HIGH,RESOLVED
ALT000188,D003,2023-09-06,OUTBREAK,HIGH,RESOLVED
ALT000189,D003,2023-09-18,OUTBREAK,HIGH,RESOLVED
ALT000190,D003,2023-09-26,OUTBREAK,HIGH,RESOLVED
ALT000191,D003,2023-09-14,OUTBREAK,HIGH,RESOLVED
ALT000192,D003,2023-10-16,WATERBORNE,HIGH,RESOLVED
ALT000193,D003,2023-10-27,WATERBORNE,HIGH,RESOLVED
ALT000194,D003,2023-10-13,WATERBORNE,HIGH,RESOLVED
ALT000195,D003,2023-11-28,WATERBORNE,HIGH,RESOLVED
ALT000196,D003,2023-11-25,WATERBORNE,HIGH,RESOLVED
ALT000197,D003,2023-11-23,WATERBORNE,HIGH,RESOLVED
ALT000198,D003,2023-12-09,WATERBORNE,HIGH,RESOLVED
ALT000199,D003,2023-12-22,WATERBORNE,HIGH,RESOLVED
ALT000200,D003,2023-12-08,WATERBORNE,HIGH,RESOLVED
ALT000201,D003,2023-12-28,WATERBORNE,HIGH,RESOLVED
ALT000202,D003,2023-12-18,WATERBORNE,HIGH,RESOLVED
ALT000203,D003,2024-01-14,OUTBREAK,HIGH,RESOLVED
ALT000204,D003,2024-01-19,OUTBREAK,HIGH,RESOLVED
ALT000205,D003,2024-01-21,OUTBREAK,HIGH,RESOLVED
ALT000206,D003,2024-01-25,OUTBREAK,HIGH,RESOLVED
ALT000207,D003,2024-02-08,OUTBREAK,HIGH,RESOLVED
ALT000208,D003,2024-02-17,OUTBREAK,HIGH,RESOLVED
ALT000209,D003,2024-02-23,OUTBREAK,HIGH,RESOLVED
ALT000210,D003,2024-02-10,OUTBREAK,HIGH,RESOLVED
ALT000211,D003,2024-02-26,OUTBREAK,HIGH,RESOLVED
ALT000212,D003,2024-02-02,OUTBREAK,HIGH,RESOLVED
ALT000213,D003,2024-03-04,WATERBORNE,HIGH,RESOLVED
ALT000214,D003,2024-03-15,WATERBORNE,HIGH,RESOLVED
ALT000215,D003,2024-03-10,WATERBORNE,HIGH,RESOLVED
ALT000216,D003,2024-04-13,WATERBORNE,HIGH,RESOLVED
ALT000217,D003,2024-04-22,WATERBORNE,HIGH,RESOLVED
ALT000218,D003,2024-04-10,WATERBORNE,HIGH,RESOLVED
ALT000219,D003,2024-04-08,WATERBORNE,HIGH,RESOLVED
ALT000220,D003,2024-05-06,WATERBORNE,HIGH,RESOLVED
ALT000221,D003,2024-05-11,WATERBORNE,HIGH,RESOLVED
ALT000222,D003,2024-05-07,WATERBORNE,HIGH,RESOLVED
ALT000223,D003,2024-05-13,WATERBORNE,HIGH,RESOLVED
ALT000224,D003,2024-06-17,OUTBREAK,HIGH,RESOLVED
ALT000225,D003,2024-06-01,OUTBREAK,HIGH,RESOLVED
ALT000226,D003,2024-06-03,OUTBREAK,HIGH,RESOLVED
ALT000227,D003,2024-06-02,OUTBREAK,HIGH,RESOLVED
ALT000228,D003,2024-06-23,OUTBREAK,HIGH,RESOLVED
ALT000229,D003,2024-06-19,OUTBREAK,HIGH,RESOLVED
ALT000230,D003,2024-07-28,OUTBREAK,HIGH,RESOLVED
ALT000231,D003,2024-07-07,OUTBREAK,HIGH,RESOLVED
ALT000232,D003,2024-07-02,OUTBREAK,HIGH,RESOLVED
ALT000233,D003,2024-08-14,OUTBREAK,HIGH,RESOLVED
ALT000234,D003,2024-08-01,OUTBREAK,HIGH,RESOLVED
ALT000235,D003,2024-08-06,OUTBREAK,HIGH,RESOLVED
ALT000236,D003,2024-08-25,OUTBREAK,HIGH,RESOLVED
ALT000237,D003,2024-08-14,OUTBREAK,HIGH,RESOLVED
ALT000238,D003,2024-08-27,OUTBREAK,HIGH,RESOLVED
ALT000239,D003,2024-09-09,OUTBREAK,HIGH,RESOLVED
ALT000240,D003,2024-09-14,OUTBREAK,HIGH,RESOLVED
ALT000241,D003,2024-09-22,OUTBREAK,HIGH,RESOLVED
ALT000242,D003,2024-09-23,OUTBREAK,HIGH,RESOLVED
ALT000243,D003,2024-09-19,OUTBREAK,HIGH,RESOLVED
ALT000244,D003,2024-10-04,WATERBORNE,HIGH,RESOLVED
ALT000245,D003,2024-10-05,WATERBORNE,HIGH,RESOLVED
ALT000246,D003,2024-10-18,WATERBORNE,HIGH,RESOLVED
ALT000247,D003,2024-11-13,WATERBORNE,HIGH,RESOLVED
ALT000248,D003,2024-11-18,WATERBORNE,HIGH,RESOLVED
ALT000249,D003,2024-11-02,WATERBORNE,HIGH,RESOLVED
ALT000250,D003,2024-11-25,WATERBORNE,HIGH,RESOLVED
ALT000251,D003,2024-11-04,WATERBORNE,HIGH,RESOLVED
ALT000252,D003,2024-11-13,WATERBORNE,HIGH,RESOLVED
ALT000253,D003,2024-12-06,OUTBREAK,HIGH,RESOLVED
ALT000254,D003,2024-12-15,OUTBREAK,HIGH,RESOLVED
ALT000255,D003,2024-12-02,OUTBREAK,HIGH,RESOLVED
ALT000256,D003,2024-12-08,OUTBREAK,HIGH,RESOLVED
ALT000257,D003,2024-12-16,OUTBREAK,HIGH,RESOLVED
ALT000258,D003,2024-12-25,OUTBREAK,HIGH,RESOLVED
ALT000259,D003,2025-01-28,WATERBORNE,HIGH,RESOLVED
ALT000260,D003,2025-01-27,WATERBORNE,HIGH,RESOLVED
ALT000261,D003,2025-01-14,WATERBORNE,HIGH,RESOLVED
ALT000262,D003,2025-01-11,WATERBORNE,HIGH,RESOLVED
ALT000263,D003,2025-01-09,WATERBORNE,HIGH,RESOLVED
ALT000264,D003,2025-02-25,WATERBORNE,HIGH,ACTIVE
ALT000265,D003,2025-02-02,WATERBORNE,HIGH,ACTIVE
ALT000266,D003,2025-02-10,WATERBORNE,HIGH,ACTIVE
ALT000267,D003,2025-02-08,WATERBORNE,HIGH,ACTIVE
ALT000268,D003,2025-02-09,WATERBORNE,HIGH,RESOLVED
ALT000269,D003,2025-03-23,WATERBORNE,HIGH,ACTIVE
ALT000270,D003,2025-03-03,WATERBORNE,HIGH,RESOLVED
ALT000271,D003,2025-03-14,WATERBORNE,HIGH,ACTIVE
ALT000272,D004,2023-04-16,WATERBORNE,MEDIUM,RESOLVED
ALT000273,D004,2023-04-17,WATERBORNE,MEDIUM,RESOLVED
ALT000274,D004,2023-04-22,WATERBORNE,MEDIUM,RESOLVED
ALT000275,D004,2023-05-19,WATERBORNE,MEDIUM,RESOLVED
ALT000276,D004,2023-05-04,WATERBORNE,MEDIUM,RESOLVED
ALT000277,D004,2023-05-20,WATERBORNE,MEDIUM,RESOLVED
ALT000278,D004,2023-06-05,WATERBORNE,HIGH,RESOLVED
ALT000279,D004,2023-06-07,WATERBORNE,HIGH,RESOLVED
ALT000280,D004,2023-06-22,WATERBORNE,HIGH,RESOLVED
ALT000281,D004,2023-06-26,WATERBORNE,HIGH,RESOLVED
ALT000282,D004,2023-06-11,WATERBORNE,HIGH,RESOLVED
ALT000283,D004,2023-06-23,WATERBORNE,HIGH,RESOLVED
ALT000284,D004,2023-07-11,WATERBORNE,HIGH,RESOLVED
ALT000285,D004,2023-07-23,WATERBORNE,HIGH,RESOLVED
ALT000286,D004,2023-07-02,WATERBORNE,HIGH,RESOLVED
ALT000287,D004,2023-07-27,WATERBORNE,HIGH,RESOLVED
ALT000288,D004,2023-07-27,WATERBORNE,HIGH,RESOLVED
ALT000289,D004,2023-08-22,WATERBORNE,HIGH,RESOLVED
ALT000290,D004,2023-08-27,WATERBORNE,HIGH,RESOLVED
ALT000291,D004,2023-08-11,WATERBORNE,HIGH,RESOLVED
ALT000292,D004,2023-08-15,WATERBORNE,HIGH,RESOLVED
ALT000293,D004,2023-08-28,WATERBORNE,HIGH,RESOLVED
ALT000294,D004,2023-09-11,OUTBREAK,HIGH,RESOLVED
ALT000295,D004,2023-09-11,OUTBREAK,HIGH,RESOLVED
ALT000296,D004,2023-09-16,OUTBREAK,HIGH,RESOLVED
ALT000297,D004,2023-09-15,OUTBREAK,HIGH,RESOLVED
ALT000298,D004,2023-10-04,OUTBREAK,HIGH,RESOLVED
ALT000299,D004,2023-10-17,OUTBREAK,HIGH,RESOLVED
ALT000300,D004,2023-10-26,OUTBREAK,HIGH,RESOLVED
ALT000301,D004,2023-10-08,OUTBREAK,HIGH,RESOLVED
ALT000302,D004,2023-10-14,OUTBREAK,HIGH,RESOLVED
ALT000303,D004,2023-11-05,OUTBREAK,HIGH,RESOLVED
ALT000304,D004,2023-11-13,OUTBREAK,HIGH,RESOLVED
ALT000305,D004,2023-11-21,OUTBREAK,HIGH,RESOLVED
ALT000306,D004,2023-12-12,WATERBORNE,MEDIUM,RESOLVED
ALT000307,D004,2024-01-26,HEALTH_RISK,MEDIUM,RESOLVED
ALT000308,D004,2024-02-04,HEALTH_RISK,MEDIUM,RESOLVED
ALT000309,D004,2024-02-27,HEALTH_RISK,MEDIUM,RESOLVED
ALT000310,D004,2024-03-14,WATERBORNE,MEDIUM,RESOLVED
ALT000311,D004,2024-03-10,WATERBORNE,MEDIUM,RESOLVED
ALT000312,D004,2024-03-17,WATERBORNE,MEDIUM,RESOLVED
ALT000313,D004,2024-04-10,HEALTH_RISK,MEDIUM,RESOLVED
ALT000314,D004,2024-04-22,HEALTH_RISK,MEDIUM,RESOLVED
ALT000315,D004,2024-05-10,HEALTH_RISK,MEDIUM,RESOLVED
ALT000316,D004,2024-06-12,OUTBREAK,HIGH,RESOLVED
ALT000317,D004,2024-06-11,OUTBREAK,HIGH,RESOLVED
ALT000318,D004,2024-06-08,OUTBREAK,HIGH,RESOLVED
ALT000319,D004,2024-06-25,OUTBREAK,HIGH,RESOLVED
ALT000320,D004,2024-06-24,OUTBREAK,HIGH,RESOLVED
ALT000321,D004,2024-06-03,OUTBREAK,HIGH,RESOLVED
ALT000322,D004,2024-07-04,WATERBORNE,HIGH,RESOLVED
ALT000323,D004,2024-07-21,WATERBORNE,HIGH,RESOLVED
ALT000324,D004,2024-07-10,WATERBORNE,HIGH,RESOLVED
ALT000325,D004,2024-07-17,WATERBORNE,HIGH,RESOLVED
ALT000326,D004,2024-08-14,OUTBREAK,HIGH,RESOLVED
ALT000327,D004,2024-08-26,OUTBREAK,HIGH,RESOLVED
ALT000328,D004,2024-08-19,OUTBREAK,HIGH,RESOLVED
ALT000329,D004,2024-08-08,OUTBREAK,HIGH,RESOLVED
ALT000330,D004,2024-08-19,OUTBREAK,HIGH,RESOLVED
ALT000331,D004,2024-08-05,OUTBREAK,HIGH,RESOLVED
ALT000332,D004,2024-09-14,WATERBORNE,HIGH,RESOLVED
ALT000333,D004,2024-09-03,WATERBORNE,HIGH,RESOLVED
ALT000334,D004,2024-09-26,WATERBORNE,HIGH,RESOLVED
ALT000335,D004,2024-09-07,WATERBORNE,HIGH,RESOLVED
ALT000336,D004,2024-09-01,WATERBORNE,HIGH,RESOLVED
ALT000337,D004,2024-10-23,OUTBREAK,HIGH,RESOLVED
ALT000338,D004,2024-10-05,OUTBREAK,HIGH,RESOLVED
ALT000339,D004,2024-10-12,OUTBREAK,HIGH,RESOLVED
ALT000340,D004,2024-11-23,OUTBREAK,HIGH,RESOLVED
ALT000341,D004,2024-11-27,OUTBREAK,HIGH,RESOLVED
ALT000342,D004,2024-11-04,OUTBREAK,HIGH,RESOLVED
ALT000343,D004,2024-12-17,WATERBORNE,MEDIUM,RESOLVED
ALT000344,D004,2024-12-18,WATERBORNE,MEDIUM,RESOLVED
ALT000345,D004,2024-12-15,WATERBORNE,MEDIUM,RESOLVED
ALT000346,D004,2025-01-10,WATERBORNE,MEDIUM,ACTIVE
ALT000347,D004,2025-02-06,WATERBORNE,MEDIUM,RESOLVED
ALT000348,D004,2025-02-08,WATERBORNE,MEDIUM,ACTIVE
ALT000349,D004,2025-02-04,WATERBORNE,MEDIUM,RESOLVED
ALT000350,D004,2025-03-13,HEALTH_RISK,MEDIUM,RESOLVED
ALT000351,D005,2023-04-09,WATERBORNE,MEDIUM,RESOLVED
ALT000352,D005,2023-04-23,WATERBORNE,MEDIUM,RESOLVED
ALT000353,D005,2023-05-17,HEALTH_RISK,MEDIUM,RESOLVED
ALT000354,D005,2023-05-07,HEALTH_RISK,MEDIUM,RESOLVED
ALT000355,D005,2023-05-01,HEALTH_RISK,MEDIUM,RESOLVED
ALT000356,D005,2023-06-12,WATERBORNE,HIGH,RESOLVED
ALT000357,D005,2023-06-27,WATERBORNE,HIGH,RESOLVED
ALT000358,D005,2023-06-09,WATERBORNE,HIGH,RESOLVED
ALT000359,D005,2023-06-19,WATERBORNE,HIGH,RESOLVED
ALT000360,D005,2023-06-16,WATERBORNE,HIGH,RESOLVED
ALT000361,D005,2023-06-04,WATERBORNE,HIGH,RESOLVED
ALT000362,D005,2023-07-12,OUTBREAK,HIGH,RESOLVED
ALT000363,D005,2023-07-17,OUTBREAK,HIGH,RESOLVED
ALT000364,D005,2023-07-15,OUTBREAK,HIGH,RESOLVED
ALT000365,D005,2023-07-03,OUTBREAK,HIGH,RESOLVED
ALT000366,D005,2023-07-15,OUTBREAK,HIGH,RESOLVED
ALT000367,D005,2023-08-20,OUTBREAK,HIGH,RESOLVED
ALT000368,D005,2023-08-23,OUTBREAK,HIGH,RESOLVED
ALT000369,D005,2023-08-20,OUTBREAK,HIGH,RESOLVED
ALT000370,D005,2023-08-18,OUTBREAK,HIGH,RESOLVED
ALT000371,D005,2023-09-20,OUTBREAK,HIGH,RESOLVED
ALT000372,D005,2023-09-13,OUTBREAK,HIGH,RESOLVED
ALT000373,D005,2023-09-25,OUTBREAK,HIGH,RESOLVED
ALT000374,D005,2023-09-07,OUTBREAK,HIGH,RESOLVED
ALT000375,D005,2023-10-13,OUTBREAK,HIGH,RESOLVED
ALT000376,D005,2023-10-21,OUTBREAK,HIGH,RESOLVED
ALT000377,D005,2023-10-02,OUTBREAK,HIGH,RESOLVED
ALT000378,D005,2023-10-14,OUTBREAK,HIGH,RESOLVED
ALT000379,D005,2023-10-22,OUTBREAK,HIGH,RESOLVED
ALT000380,D005,2023-10-21,OUTBREAK,HIGH,RESOLVED
ALT000381,D005,2023-11-13,WATERBORNE,HIGH,RESOLVED
