alert_id,district_id,alert_date,alert_type,severity,previous_risk_score,previous_risk_level,cases_estimated,response_delay_hours,anomaly_score,alert_status
143,8,2024-04-07,heat_wave,low,0.15,low,36,20.3,0.0,monitored
144,8,2024-06-02,heat_wave,low,0.141,low,32,14.5,0.0,resolved
145,8,2024-09-21,vector_borne_disease,low,0.219,low,48,22.9,0.094,resolved
146,9,2020-03-14,heat_wave,low,0.135,low,5,22.5,0.0,monitored
147,9,2020-06-08,heat_wave,low,0.142,low,5,19.9,0.0,monitored
148,9,2020-07-20,vector_borne_disease,low,0.161,low,5,24.6,0.0,resolved
149,9,2020-09-01,vector_borne_disease,low,0.216,low,7,6.0,0.072,monitored
150,9,2020-10-22,vector_borne_disease,low,0.3,low,6,15.1,0.253,resolved
151,9,2021-01-07,heat_wave,low,0.199,low,5,7.9,0.071,resolved
152,9,2021-02-20,heat_wave,low,0.163,low,6,16.7,0.0,resolved
153,9,2021-05-25,heat_wave,low,0.147,low,5,20.6,0.0,resolved
154,9,2021-09-23,vector_borne_disease,low,0.285,low,10,23.7,0.201,resolved
155,9,2021-11-08,heat_wave,low,0.347,low,5,10.4,0.294,monitored
156,9,2022-02-13,heat_wave,low,0.158,low,5,16.1,0.0,monitored
157,9,2022-07-20,vector_borne_disease,low,0.147,low,5,20.4,0.0,resolved
158,9,2023-05-07,heat_wave,low,0.151,low,5,35.6,0.0,resolved
159,9,2023-10-16,vector_borne_disease,low,0.264,low,9,8.3,0.184,resolved
160,9,2023-12-23,heat_wave,low,0.284,low,5,23.4,0.199,resolved
161,9,2024-04-14,heat_wave,low,0.152,low,5,8.8,0.0,resolved
162,9,2024-06-27,heat_wave,low,0.158,low,5,7.6,0.0,resolved
163,9,2024-07-03,vector_borne_disease,low,0.155,low,5,17.4,0.0,resolved
164,9,2024-08-18,vector_borne_disease,low,0.179,low,5,10.1,0.038,resolved
165,9,2024-09-04,vector_borne_disease,low,0.226,low,7,33.0,0.128,monitored
166,10,2020-04-27,heat_wave,low,0.157,low,62,9.9,0.0,resolved
167,10,2020-04-28,heat_wave,low,0.173,low,38,26.0,0.0,resolved
168,10,2020-04-29,heat_wave,low,0.151,low,31,10.6,0.0,resolved
169,10,2020-06-07,heat_wave,low,0.152,low,53,26.0,0.0,resolved
170,10,2020-10-22,vector_borne_disease,low,0.318,low,132,18.3,0.253,monitored
171,10,2021-08-14,vector_borne_disease,low,0.142,low,58,15.7,0.0,resolved
172,10,2021-10-12,vector_borne_disease,low,0.316,low,82,12.7,0.257,resolved
173,10,2021-11-23,heat_wave,low,0.336,low,126,14.1,0.323,monitored
174,10,2022-01-06,heat_wave,low,0.226,low,78,32.0,0.114,resolved
175,10,2022-10-29,vector_borne_disease,low,0.342,low,120,15.0,0.305,monitored
176,10,2023-02-09,heat_wave,low,0.209,low,69,14.5,0.075,resolved
177,10,2023-04-11,heat_wave,low,0.137,low,62,24.1,0.0,monitored
178,10,2023-07-02,vector_borne_disease,low,0.152,low,51,32.3,0.0,resolved
179,10,2023-09-02,vector_borne_disease,low,0.154,low,31,14.3,0.0,resolved
180,10,2023-09-15,vector_borne_disease,low,0.168,low,31,25.6,0.038,resolved
181,10,2024-04-04,heat_wave,low,0.151,low,52,28.7,0.0,resolved
182,10,2024-09-11,vector_borne_disease,low,0.296,low,113,16.2,0.243,resolved
183,10,2024-09-29,vector_borne_disease,low,0.229,low,64,25.8,0.114,resolved
184,10,2024-10-11,vector_borne_disease,low,0.24,low,80,27.3,0.143,monitored
185,11,2020-02-15,heat_wave,low,0.367,low,203,23.3,0.209,resolved
186,11,2020-03-25,heat_wave,low,0.232,low,74,15.9,0.004,resolved
187,11,2020-08-06,flood,low,0.37,low,125,19.7,0.237,resolved
188,11,2020-08-20,flood,low,0.317,low,180,15.7,0.155,resolved
189,11,2020-10-14,vector_borne_disease,medium,0.493,medium,208,6.2,0.446,resolved
190,11,2020-10-24,vector_borne_disease,medium,0.514,medium,117,7.0,0.483,resolved
191,11,2020-12-14,heat_wave,medium,0.482,medium,120,16.9,0.43,monitored
192,11,2021-04-11,heat_wave,low,0.239,low,64,19.3,0.009,monitored
193,11,2021-05-14,heat_wave,low,0.223,low,54,10.0,0.0,resolved
194,11,2021-09-24,flood,medium,0.413,medium,157,14.1,0.344,resolved
195,11,2021-11-04,heat_wave,medium,0.47,medium,309,18.8,0.424,monitored
196,11,2021-12-21,heat_wave,low,0.397,low,170,20.9,0.299,resolved
197,11,2022-01-08,heat_wave,low,0.385,low,117,22.4,0.277,monitored
198,11,2022-02-18,heat_wave,low,0.286,low,136,19.0,0.088,resolved
199,11,2022-02-21,heat_wave,low,0.267,low,106,20.3,0.078,resolved
200,11,2022-04-28,heat_wave,low,0.212,low,78,20.0,0.0,resolved
201,11,2022-05-01,heat_wave,low,0.238,low,150,2.4,0.008,monitored
202,11,2022-08-07,flood,low,0.329,low,219,16.7,0.17,resolved
203,11,2022-11-25,heat_wave,medium,0.471,medium,165,20.5,0.4,resolved
204,11,2023-02-14,heat_wave,low,0.332,low,142,10.5,0.159,resolved
205,11,2023-10-11,vector_borne_disease,medium,0.45,medium,111,7.7,0.373,resolved
206,11,2024-04-05,heat_wave,low,0.245,low,132,7.9,0.012,monitored
207,11,2024-08-18,flood,low,0.36,low,114,22.5,0.221,monitored
208,11,2024-08-28,flood,low,0.385,low,118,34.8,0.254,resolved
209,11,2024-10-03,vector_borne_disease,medium,0.403,medium,101,18.5,0.324,active
210,11,2024-10-09,vector_borne_disease,medium,0.466,medium,123,15.2,0.415,active
211,12,2020-01-05,heat_wave,low,0.254,low,21,23.8,0.187,resolved
212,12,2020-02-18,heat_wave,low,0.141,low,15,27.0,0.006,resolved
213,12,2020-02-26,heat_wave,low,0.135,low,13,29.1,0.0,resolved
214,12,2020-03-03,heat_wave,low,0.141,low,15,8.5,0.0,resolved
215,12,2020-08-05,flood,low,0.15,low,10,17.6,0.015,resolved
216,12,2020-10-05,vector_borne_disease,low,0.287,low,37,10.2,0.266,resolved
217,12,2020-10-14,vector_borne_disease,low,0.318,low,21,33.8,0.314,resolved
218,12,2021-03-02,heat_wave,low,0.14,low,19,27.0,0.0,monitored
219,12,2021-09-19,flood,low,0.251,low,23,12.8,0.187,resolved
220,12,2021-09-21,flood,low,0.273,low,14,8.5,0.219,resolved
221,12,2022-01-18,heat_wave,low,0.132,low,6,8.2,0.0,resolved
222,12,2022-05-11,heat_wave,low,0.14,low,7,15.3,0.0,monitored
223,12,2022-10-24,vector_borne_disease,low,0.366,low,33,23.2,0.387,resolved
224,12,2023-02-06,heat_wave,low,0.255,low,31,22.4,0.183,resolved
225,12,2023-09-28,flood,low,0.289,low,31,27.0,0.267,monitored
226,12,2023-12-28,heat_wave,low,0.301,low,40,25.3,0.277,monitored
227,12,2024-09-12,flood,low,0.284,low,34,31.1,0.235,resolved
228,12,2024-09-19,flood,low,0.369,low,18,18.4,0.406,monitored
229,12,2024-12-12,heat_wave,low,0.316,low,23,18.3,0.293,monitored
230,13,2020-03-17,heat_wave,low,0.135,low,5,19.8,0.0,monitored
231,13,2020-08-15,flood,low,0.128,low,6,26.6,0.0,resolved
232,13,2020-11-06,heat_wave,low,0.389,low,9,33.3,0.455,monitored
233,13,2020-11-30,heat_wave,low,0.312,low,12,23.8,0.293,resolved
234,13,2022-01-26,heat_wave,low,0.201,low,5,25.9,0.118,resolved
235,13,2022-02-12,heat_wave,low,0.176,low,5,26.7,0.051,resolved
236,13,2022-10-29,vector_borne_disease,low,0.349,low,11,20.4,0.356,resolved
237,13,2023-04-30,heat_wave,low,0.144,low,7,20.9,0.0,resolved
238,13,2023-11-03,heat_wave,low,0.293,low,7,21.8,0.273,resolved
239,13,2023-12-07,heat_wave,low,0.335,low,8,13.7,0.338,monitored
240,13,2023-12-14,heat_wave,low,0.298,low,8,18.5,0.286,monitored
241,13,2023-12-18,heat_wave,low,0.302,low,11,24.7,0.267,monitored
242,13,2024-10-20,vector_borne_disease,low,0.289,low,8,21.2,0.271,active
243,13,2024-11-08,heat_wave,low,0.367,low,7,29.7,0.409,active
244,13,2024-12-04,heat_wave,low,0.315,low,17,1.0,0.306,monitored
245,13,2024-12-31,heat_wave,low,0.252,low,7,29.1,0.175,monitored
246,14,2020-03-23,heat_wave,low,0.121,low,7,17.0,0.0,resolved
247,14,2020-03-26,heat_wave,low,0.136,low,5,26.3,0.0,resolved
248,14,2020-07-27,vector_borne_disease,low,0.148,low,7,1.0,0.027,resolved
249,14,2021-01-19,heat_wave,low,0.3,low,14,17.6,0.306,resolved
250,14,2021-09-29,vector_borne_disease,low,0.159,low,5,3.7,0.045,resolved
251,14,2021-11-22,heat_wave,low,0.175,low,6,17.3,0.106,resolved
252,14,2022-01-25,heat_wave,low,0.112,low,5,11.9,0.0,resolved
253,14,2022-10-29,vector_borne_disease,low,0.282,low,12,16.8,0.279,monitored
254,14,2022-11-23,heat_wave,medium,0.404,medium,15,9.1,0.481,monitored
255,14,2023-02-21,heat_wave,low,0.125,low,5,23.5,0.0,monitored
256,14,2023-10-03,vector_borne_disease,low,0.212,low,5,21.8,0.159,resolved
257,14,2024-10-10,vector_borne_disease,low,0.349,low,10,17.7,0.403,active
258,14,2024-10-23,vector_borne_disease,low,0.211,low,10,26.3,0.146,active
259,14,2024-12-13,heat_wave,low,0.337,low,12,26.3,0.383,monitored
260,15,2020-10-03,vector_borne_disease,low,0.336,low,36,20.1,0.326,resolved
261,15,2020-12-04,heat_wave,low,0.346,low,54,15.0,0.347,resolved
262,15,2021-01-01,heat_wave,low,0.316,low,40,10.0,0.26,resolved
263,15,2021-04-02,heat_wave,low,0.135,low,23,8.7,0.0,resolved
264,15,2021-05-17,heat_wave,low,0.125,low,14,26.1,0.0,monitored
265,15,2021-11-08,heat_wave,low,0.356,low,35,16.1,0.347,monitored
266,15,2021-11-23,heat_wave,medium,0.42,medium,37,5.3,0.456,monitored
267,15,2021-12-14,heat_wave,low,0.374,low,57,14.1,0.383,resolved
268,15,2023-01-19,heat_wave,low,0.234,low,37,13.1,0.14,monitored
269,15,2023-11-25,heat_wave,low,0.357,low,40,25.6,0.34,resolved
270,15,2024-01-16,heat_wave,low,0.272,low,19,12.9,0.202,resolved
271,15,2024-01-22,heat_wave,low,0.23,low,19,6.7,0.14,resolved
272,15,2024-03-14,heat_wave,low,0.141,low,22,33.9,0.0,resolved
273,15,2024-09-04,flood,low,0.28,low,28,24.5,0.223,resolved
274,15,2024-10-19,vector_borne_disease,low,0.375,low,69,8.3,0.382,active
275,15,2024-11-24,heat_wave,low,0.372,low,57,9.6,0.345,active
276,16,2020-08-10,vector_borne_disease,low,0.304,low,5,29.9,0.322,monitored
277,16,2020-09-29,vector_borne_disease,low,0.131,low,5,13.2,0.0,monitored
278,16,2021-03-23,heat_wave,low,0.124,low,5,14.7,0.0,resolved
279,16,2021-11-08,heat_wave,medium,0.449,medium,5,15.1,0.548,resolved
280,16,2021-12-19,heat_wave,low,0.139,low,5,23.5,0.012,resolved
281,16,2022-01-23,heat_wave,low,0.14,low,5,16.3,0.0,monitored
282,16,2022-06-17,heat_wave,low,0.123,low,5,12.7,0.0,monitored
283,16,2022-10-07,vector_borne_disease,low,0.274,low,5,10.0,0.264,resolved
284,16,2022-12-27,heat_wave,low,0.223,low,5,13.3,0.16,monitored
285,16,2023-08-21,vector_borne_disease,low,0.361,low,5,17.2,0.383,resolved
286,16,2023-11-15,heat_wave,medium,0.515,medium,8,32.4,0.673,resolved
287,16,2023-12-04,heat_wave,low,0.361,low,5,10.9,0.385,monitored
288,16,2024-07-25,vector_borne_disease,low,0.117,low,5,18.2,0.0,resolved
289,16,2024-08-08,vector_borne_disease,low,0.158,low,5,30.4,0.043,resolved
290,16,2024-12-07,heat_wave,low,0.303,low,5,20.5,0.294,monitored
291,17,2020-10-03,vector_borne_disease,low,0.173,low,30,7.8,0.07,resolved
292,17,2021-05-04,heat_wave,low,0.121,low,25,26.0,0.0,resolved
293,17,2021-05-14,heat_wave,low,0.128,low,25,24.3,0.0,resolved
294,17,2021-06-20,heat_wave,low,0.105,low,10,7.1,0.0,monitored
295,17,2021-07-06,vector_borne_disease,low,0.119,low,25,11.6,0.0,resolved
296,17,2021-10-09,vector_borne_disease,low,0.132,low,12,11.1,0.0,monitored
297,17,2021-11-15,heat_wave,low,0.224,low,22,22.1,0.164,resolved
298,17,2021-11-26,heat_wave,low,0.3,low,57,9.9,0.309,resolved
299,17,2022-08-30,vector_borne_disease,low,0.226,low,21,22.0,0.176,monitored
300,17,2022-11-09,heat_wave,low,0.212,low,45,13.0,0.129,resolved
301,17,2022-12-03,heat_wave,low,0.183,low,32,23.1,0.097,resolved
302,17,2023-09-23,vector_borne_disease,low,0.308,low,24,25.4,0.297,resolved
303,17,2024-02-05,heat_wave,low,0.126,low,10,8.7,0.0,resolved
304,17,2024-04-27,heat_wave,low,0.108,low,18,25.2,0.0,resolved
305,17,2024-07-28,vector_borne_disease,low,0.108,low,17,24.9,0.0,resolved
306,17,2024-10-31,vector_borne_disease,low,0.276,low,56,18.6,0.241,active
307,17,2024-11-14,heat_wave,low,0.248,low,39,28.6,0.212,active
308,18,2020-02-27,heat_wave,low,0.126,low,20,7.7,0.0,monitored
309,18,2020-03-30,heat_wave,low,0.13,low,19,27.5,0.0,resolved
310,18,2020-04-05,heat_wave,low,0.123,low,22,10.7,0.0,resolved
311,18,2020-06-28,heat_wave,low,0.129,low,18,2.7,0.0,resolved
312,18,2020-09-18,vector_borne_disease,low,0.214,low,49,29.7,0.146,monitored
313,18,2020-10-19,vector_borne_disease,medium,0.453,medium,75,20.0,0.54,resolved
314,18,2021-02-26,heat_wave,low,0.127,low,15,21.1,0.0,resolved
315,18,2021-02-27,heat_wave,low,0.129,low,21,19.5,0.0,resolved
316,18,2021-05-12,heat_wave,low,0.141,low,13,21.3,0.0,monitored
317,18,2021-12-17,heat_wave,low,0.216,low,40,12.1,0.138,monitored
318,18,2022-10-11,vector_borne_disease,low,0.302,low,56,25.3,0.316,resolved
319,18,2022-11-25,heat_wave,low,0.14,low,18,10.9,0.0,resolved
320,18,2024-09-10,vector_borne_disease,low,0.171,low,20,11.3,0.072,resolved
321,19,2020-02-28,heat_wave,low,0.13,low,15,41.6,0.0,resolved
322,19,2020-08-03,vector_borne_disease,low,0.139,low,19,18.2,0.0,resolved
323,19,2020-09-07,vector_borne_disease,low,0.316,low,49,5.5,0.283,resolved
324,19,2020-12-07,heat_wave,low,0.343,low,42,29.8,0.358,resolved
325,19,2021-08-30,vector_borne_disease,low,0.207,low,24,30.1,0.126,resolved
326,19,2021-11-18,heat_wave,low,0.233,low,19,10.0,0.181,resolved
327,19,2021-12-04,heat_wave,low,0.241,low,43,34.5,0.149,resolved
328,19,2022-02-26,heat_wave,low,0.146,low,12,24.6,0.0,resolved
329,19,2022-08-10,vector_borne_disease,low,0.136,low,12,7.9,0.0,monitored
330,19,2023-02-28,heat_wave,low,0.138,low,20,23.4,0.0,resolved
331,19,2023-03-16,heat_wave,low,0.124,low,14,7.7,0.0,resolved
332,19,2023-05-21,heat_wave,low,0.149,low,35,12.6,0.0,resolved
333,19,2024-05-09,heat_wave,low,0.135,low,31,14.9,0.0,resolved
334,19,2024-07-19,vector_borne_disease,low,0.144,low,26,10.0,0.0,resolved
335,19,2024-08-04,vector_borne_disease,low,0.136,low,21,13.6,0.0,resolved
336,19,2024-11-02,heat_wave,low,0.286,low,51,24.8,0.238,monitored
337,20,2020-09-18,vector_borne_disease,low,0.394,low,30,24.6,0.448,resolved
338,20,2020-10-08,vector_borne_disease,medium,0.528,medium,34,16.1,0.706,resolved
339,20,2021-10-03,vector_borne_disease,low,0.13,low,10,16.9,0.0,resolved
340,20,2021-10-04,vector_borne_disease,medium,0.463,medium,27,42.6,0.577,monitored
341,20,2022-01-14,heat_wave,low,0.278,low,17,16.0,0.247,resolved
342,20,2022-01-30,heat_wave,low,0.148,low,6,20.7,0.0,resolved
343,20,2022-07-27,vector_borne_disease,low,0.142,low,14,14.3,0.0,monitored
344,20,2022-11-07,heat_wave,medium,0.435,medium,43,10.9,0.51,monitored
345,20,2022-11-21,heat_wave,low,0.386,low,23,30.9,0.431,resolved
346,20,2023-02-25,heat_wave,low,0.19,low,7,19.0,0.093,resolved
347,20,2023-07-16,vector_borne_disease,low,0.143,low,14,14.5,0.0,resolved
348,20,2024-08-24,vector_borne_disease,low,0.187,low,17,19.0,0.096,monitored
